Round,Total profit,Profit per km
1,70731,131.42,64403,54.81106382978724
3,127215,69.83,90538,42.4464,220896,1074,121675,37.89317969479913
5,153325,35.806865950490426
6,150385,30.87987679671458
7,249639,49.738792588164976
8,300353,51.51852487135506
9,299373,49.680219050779954
10,2911,511043,11,400627,6011,351380,50.18212,467692,64.12,348440,45.9013,538423,69.12607523430479
14,536478,65.60014673514307
15,601563,68.41385192766974
16,637906,65.09244897959184
17,674249,62.39002498380679
18,739334,64.72894414288216
19,795474,65.42264988897114
20,841789,64.60391404451266
21,878132,62.558381420531454
22,875802,60.38764393573744
23,874222,58.9933193872731
24,927062,59.42324209986539
25,924732,57.554739528225554
26,1011741,61.755539278520416
27,1059302,61.455125601902886
28,1133773,63.968235161363125
29,1208244,66.34693317225853
30,1206299,64.85478494623656
31,1282383,67.26372934697089
32,1335223,67.27580994608758
33,1332893,65.61773248658494
34,1394532,66.48543504171633
35,1447519,66.53730176970811
36,1514584,67.7878530188426
37,1585315,69.28521480704515
38,1616452,67.46742351517175
39,1640477,65.26923689026816
40,1686792,64.86414151124784
41,1685667,64.26484940907358
42,1724136,63.36871508379888
43,1776610,63.46168958742633
44,1809287,62.27753683051081
45,1841964,61.176525291441095
46,1839009,59.90257328990228
47,1905854,60.907417468281615
48,1938531,59.927383454927664
49,1971208,59.00936985481216
50,2038053,59.94978821037769
51,2035723,59.07152805989205
52,2106234,60.17295660371968
53,2128206,58.780478373750206
54,2166675,58.26901355421687
55,2205144,57.78376395367119
56,2227116,56.57604470976756
57,2273431,56.502410776419126
58,2340496,57.33137370174407
59,2411007,58.28615979692977
60,2432979,57.155116519451234
61,2528786,59.133523524459825
62,2604796,60.25436039787185
63,2603216,59.78082946768934
64,2601636,59.31412156308422
65,2672367,60.18844594594594
66,2743098,61.04183541768659
67,2775775,60.349494510272855
68,2799800,59.35552257790969
69,2846115,59.24345871234987
70,2916626,60.03511588654234
71,3003635,61.42654096282057
72,3002055,61.0000203194213
73,3078065,61.95783011272142
74,3114408,61.443920531891806
75,3113283,61.15027891263357
76,3151752,60.73910194642513
77,3204226,60.82779960893749
78,3236903,60.23938288606841
79,3235323,59.857964847363554
80,3273792,59.4932034600567
81,3272812,59.264305374474866
82,3325652,59.38028068421241
83,3401736,60.238635759947584
84,3400991,60.06695513952667
85,3500245,61.65768289030985
86,3599499,63.24008222354967
87,3597919,62.86331551175874
88,3691600,64.24755042726117
89,3690475,63.97744608556965
90,3784156,65.34659552055811
91,3856134,65.99578983398939
92,3855389,65.81520681472882
93,3926120,66.41270700475329
94,4007776,67.35078815581622
95,4072861,67.74439879576188
96,4070531,67.18489114826613
97,4132170,67.46510147104442
98,4185157,67.4709732544455
99,4216807,66.82736925515056
100,4214862,66.38727968624487
101,4265576,66.33866251944012
102,4318563,66.35775968039336
103,4381375,66.66121473998113
104,4379795,66.31832773083795
105,4466804,67.31372253533861
106,4465224,66.97099319074901
107,4541234,67.6382782246053
108,4608592,68.0496131356683
109,4605362,67.35939739651894
110,4699043,68.50416211094102
111,4735386,68.03520013792708
112,4831193,69.21678271583713
113,4830213,69.00895791067806
114,4827883,68.51948623332387
115,4898394,68.9904930916466
116,4968905,69.45437645019709
117,5039636,69.91725860155383
118,5087197,69.75069240683358
119,5174206,70.63762457337884
120,5172626,70.31272598754859
121,5220187,70.1449475947326
122,5218242,69.75420069777701
123,5268956,69.67675218196244
124,5321430,69.64584396717578
125,5354107,69.11735774036973
126,5441116,69.95520699408588
127,5503928,70.17988932241859
128,5535578,69.63253959268903
129,5606309,70.04821640532268
130,5604729,69.75307090142002
131,5667541,69.97223353951381
132,5664311,69.3790159597271
133,5740395,69.91273688312954
134,5796535,69.96843502927153
135,5820560,69.27588669364437
136,5851697,68.76421302498296
137,5849752,68.42855638869068
138,5900466,68.37314885628868
139,5952940,68.35781133375438
140,5949985,67.86332633788038
141,6017343,68.1774643099932
142,6014113,67.64574944323218
143,6061674,67.53201871657754
144,6132405,67.91296595716406
145,6130825,67.65869512437372
146,6129245,67.40619157593754
147,6127665,67.15543695066086
148,6180505,67.15896248967705
149,6276312,68.055083275150,56150,6327026,68.00694362336755
151,6326281,67.890206473152,58152,6413290,68.591336898153,5931797,62.68211934526011
154,5984637,62.72218204684798
155,6037477,62.76159339688348
156,6073820,62.4852886712481
157,6072695,62.329439899824486
158,6120256,62.27176622610217
159,6180355,62.449275508760586
160,6202327,61.918627519492055
161,6201202,61.76865151303863
162,6277286,62.238233573602756
163,6328000,62.24058227599095
164,6380474,62.27465180514753
165,6413151,61.95443128465715
166,6411571,61.75065973225465
167,6450040,61.54148538279521
168,6545847,62.33902517999314
169,6544867,62.21356463878327
